term,display_order,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator
out,6,5694.289734740638,2602,145,456949,146,science_fiction,Science Fiction,6976.875035165701,1282.585300425063,372,20,53319,20
out,6,5694.289734740638,2602,145,456949,146,western,Western,6609.652790892168,915.3630561515301,490,20,74134,20
man,7,5433.8667991395105,2483,136,456949,146,adventure,Adventure,3362.9473472870554,-2070.919451852455,67,6,19923,6
man,7,5433.8667991395105,2483,136,456949,146,fantasy,Fantasy,4427.244582043343,-1006.6222170961673,143,13,32300,20
man,7,5433.8667991395105,2483,136,456949,146,horror,Horror,2853.7324900187964,-2580.134309120714,208,19,72887,20
man,7,5433.8667991395105,2483,136,456949,146,humor,Humor,6426.735218508998,992.8684193694871,375,19,58350,20
man,7,5433.8667991395105,2483,136,456949,146,mystery,Mystery,8226.142092987528,2792.275293848017,589,20,71601,20
man,7,5433.8667991395105,2483,136,456949,146,romance,Romance,3896.0166588298516,-1537.8501403096589,290,20,74435,20
man,7,5433.8667991395105,2483,136,456949,146,science_fiction,Science Fiction,3751.0080834224195,-1682.858715717091,200,19,53319,20
man,7,5433.8667991395105,2483,136,456949,146,western,Western,8241.832357622683,2807.9655584831726,611,20,74134,20
then,8,5018.065473389809,2293,146,456949,146,adventure,Adventure,5671.836570797571,653.7710974077618,113,6,19923,6
then,8,5018.065473389809,2293,146,456949,146,fantasy,Fantasy,8544.891640866872,3526.826167477063,276,20,32300,20
then,8,5018.065473389809,2293,146,456949,146,horror,Horror,4102.240454402019,-915.8250189877899,299,20,72887,20
then,8,5018.065473389809,2293,146,456949,146,humor,Humor,4592.973436161097,-425.0920372287119,268,20,58350,20
then,8,5018.065473389809,2293,146,456949,146,mystery,Mystery,4427.312467702965,-590.7530056868445,317,20,71601,20
then,8,5018.065473389809,2293,146,456949,146,romance,Romance,4500.570967958622,-517.4945054311875,335,20,74435,20
then,8,5018.065473389809,2293,146,456949,146,science_fiction,Science Fiction,5307.676438042724,289.61096465291484,283,20,53319,20
then,8,5018.065473389809,2293,146,456949,146,western,Western,5422.613105997248,404.5476326074386,402,20,74134,20
like,9,4932.716780209608,2254,142,456949,146,adventure,Adventure,4467.198715052954,-465.5180651566543,89,6,19923,6
like,9,4932.716780209608,2254,142,456949,146,fantasy,Fantasy,4241.486068111455,-691.2307120981532,137,17,32300,20
like,9,4932.716780209608,2254,142,456949,146,horror,Horror,3800.4033641115698,-1132.3134160980385,277,20,72887,20
like,9,4932.716780209608,2254,142,456949,146,humor,Humor,4970.008568980292,37.291788770683524,290,19,58350,20
like,9,4932.716780209608,2254,142,456949,146,mystery,Mystery,6173.098141087416,1240.3813608778073,442,20,71601,20
like,9,4932.716780209608,2254,142,456949,146,romance,Romance,3385.5041311211126,-1547.2126490884957,252,20,74435,20
like,9,4932.716780209608,2254,142,456949,146,science_fiction,Science Fiction,4688.760104278024,-243.95667593158396,250,20,53319,20
