term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
love,12,adventure,Adventure,173.74986968759774,-777.689181877895,10,4,57554,18,1,adventure:complement,U - Adventure,951.4390515654927,380,73,399395,128,deviation,-777.689181877895,-5013.021267719306,5013.021267719306,shared,1,1,False
love,12,romance,Romance,2398.604448320977,1885.785305209714,198,19,82548,23,2,romance:complement,U - Romance,512.8191431112631,192,58,374401,123,deviation,1885.785305209714,-5013.021267719306,5013.021267719306,shared,1,2,False
love,12,humor,Humor,1423.8478697653816,661.9237574069724,90,16,63209,21,3,humor:complement,U - Humor,761.9241123584092,300,61,393740,125,deviation,661.9237574069724,-5013.021267719306,5013.021267719306,shared,1,3,False
miss,13,adventure,Adventure,191.1248566563575,-875.488395888116,11,5,57554,18,1,adventure:complement,U - Adventure,1066.6132525444734,426,57,399395,128,deviation,-875.488395888116,-5013.021267719306,5013.021267719306,shared,1,1,False
miss,13,romance,Romance,2495.517759364249,1878.5322278085105,206,15,82548,23,2,romance:complement,U - Romance,616.9855315557384,231,47,374401,123,deviation,1878.5322278085105,-5013.021267719306,5013.021267719306,shared,1,2,False
miss,13,humor,Humor,1597.8737205144837,744.5187146730656,101,12,63209,21,3,humor:complement,U - Humor,853.3550058414181,336,50,393740,125,deviation,744.5187146730656,-5013.021267719306,5013.021267719306,shared,1,3,False
been,14,adventure,Adventure,3301.2475240643566,-1370.8189765177735,190,18,57554,18,1,adventure:complement,U - Adventure,4672.06650058213,1866,125,399395,128,deviation,-1370.8189765177735,-5013.021267719306,5013.021267719306,shared,1,1,False
been,14,romance,Romance,5911.71197363958,1723.6889715642656,488,23,82548,23,2,romance:complement,U - Romance,4188.023002075314,1568,120,374401,123,deviation,1723.6889715642656,-5013.021267719306,5013.021267719306,shared,1,2,False
been,14,humor,Humor,6043.4431805597305,1791.9066335998077,382,21,63209,21,3,humor:complement,U - Humor,4251.536546959923,1674,122,393740,125,deviation,1791.9066335998077,-5013.021267719306,5013.021267719306,shared,1,3,False
going,15,adventure,Adventure,1164.1241269069048,-373.20107746470717,67,13,57554,18,1,adventure:complement,U - Adventure,1537.325204371612,614,110,399395,128,deviation,-373.20107746470717,-5013.021267719306,5013.021267719306,shared,1,1,False
going,15,romance,Romance,1623.2979599748026,162.29758871511035,134,20,82548,23,2,romance:complement,U - Romance,1461.0003712596922,547,103,374401,123,deviation,162.29758871511035,-5013.021267719306,5013.021267719306,shared,1,2,False
going,15,humor,Humor,3005.901058393583,1758.8852611669868,190,21,63209,21,3,humor:complement,U - Humor,1247.015797226596,491,102,393740,125,deviation,1758.8852611669868,-5013.021267719306,5013.021267719306,shared,1,3,False
don,16,adventure,Adventure,1945.9985405010946,-758.0913955271478,112,13,57554,18,1,adventure:complement,U - Adventure,2704.0899360282424,1080,106,399395,128,deviation,-758.0913955271478,-5013.021267719306,5013.021267719306,shared,1,1,False
don,16,romance,Romance,2967.9701507001987,438.5965646253753,245,21,82548,23,2,romance:complement,U - Romance,2529.3735860748234,947,98,374401,123,deviation,438.5965646253753,-5013.021267719306,5013.021267719306,shared,1,2,False
don,16,humor,Humor,4113.338290433324,1746.294048039866,260,20,63209,21,3,humor:complement,U - Humor,2367.044242393458,932,99,393740,125,deviation,1746.294048039866,-5013.021267719306,5013.021267719306,shared,1,3,False
tom,17,adventure,Adventure,451.7496611877541,83.69297545057657,26,3,57554,18,1,adventure:complement,U - Adventure,368.05668573717753,147,13,399395,128,deviation,83.69297545057657,-5013.021267719306,5013.021267719306,shared,1,1,False
tom,17,romance,Romance,218.05494984736154,-195.9396708935018,18,4,82548,23,2,romance:complement,U - Romance,413.99462074086335,155,12,374401,123,deviation,-195.9396708935018,-5013.021267719306,5013.021267719306,shared,1,2,False
tom,17,humor,Humor,1882.64329446756,1745.4969542430465,119,4,63209,21,3,humor:complement,U - Humor,137.14634022451364,54,12,393740,125,deviation,1745.4969542430465,-5013.021267719306,5013.021267719306,shared,1,3,False
magpie,18,adventure,Adventure,260.62480453139665,-355.3067920083697,15,1,57554,18,1,adventure:complement,U - Adventure,615.9315965397664,246,2,399395,128,deviation,-355.3067920083697,-5013.021267719306,5013.021267719306,shared,1,1,False
magpie,18,romance,Romance,0.0,-697.1135226668732,0,0,82548,23,2,romance:complement,U - Romance,697.1135226668732,261,3,374401,123,deviation,-697.1135226668732,-5013.021267719306,5013.021267719306,shared,1,2,False
magpie,18,humor,Humor,2056.669145216662,1723.9622828201566,130,1,63209,21,3,humor:complement,U - Humor,332.70686239650536,131,2,393740,125,deviation,1723.9622828201566,-5013.021267719306,5013.021267719306,shared,1,3,False
white,19,adventure,Adventure,2710.4979671265246,1718.9983239161688,156,16,57554,18,1,adventure:complement,U - Adventure,991.4996432103557,396,94,399395,128,deviation,1718.9983239161688,-5013.021267719306,5013.021267719306,shared,1,1,False
white,19,romance,Romance,1066.0464214759897,-173.26650770956257,88,19,82548,23,2,romance:complement,U - Romance,1239.3129291855523,464,91,374401,123,deviation,-173.26650770956257,-5013.021267719306,5013.021267719306,shared,1,2,False
white,19,humor,Humor,711.9239348826908,-575.7278150030205,45,13,63209,21,3,humor:complement,U - Humor,1287.6517498857113,507,97,393740,125,deviation,-575.7278150030205,-5013.021267719306,5013.021267719306,shared,1,3,False
ricky,20,adventure,Adventure,1720.1237099072175,1667.544183373335,99,1,57554,18,1,adventure:complement,U - Adventure,52.5795265338825,21,3,399395,128,deviation,1667.544183373335,-5013.021267719306,5013.021267719306,shared,1,1,False
ricky,20,romance,Romance,0.0,-320.51196444453944,0,0,82548,23,2,romance:complement,U - Romance,320.51196444453944,120,4,374401,123,deviation,-320.51196444453944,-5013.021267719306,5013.021267719306,shared,1,2,False
ricky,20,humor,Humor,0.0,-304.76964494336363,0,0,63209,21,3,humor:complement,U - Humor,304.76964494336363,120,4,393740,125,deviation,-304.76964494336363,-5013.021267719306,5013.021267719306,shared,1,3,False
